Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
src/main/java/io/github/classgraph/AnnotationClassRef.java,io.github.classgraph.AnnotationClassRef,getTypeSignature,try-catch,ParseException,wrap,,
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,loadClassAndReturnEnumValue,throws-declaration,IllegalArgumentException,propagate,,
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,loadClassAndReturnEnumValue,try-catch,ReflectiveOperationException | SecurityException,wrap,,
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,loadClassAndReturnEnumValue,try-catch,ReflectiveOperationException | SecurityException,wrap,,
src/main/java/io/github/classgraph/AnnotationEnumValue.java,io.github.classgraph.AnnotationEnumValue,loadClassAndReturnEnumValue,throws-declaration,IllegalArgumentException,propagate,,
src/main/java/io/github/classgraph/ArrayTypeSignature.java,io.github.classgraph.ArrayTypeSignature,loadElementClass,try-catch,Throwable,custom,,
src/main/java/io/github/classgraph/ArrayTypeSignature.java,io.github.classgraph.ArrayTypeSignature,loadClass,try-catch,IllegalArgumentException,recover,,
src/main/java/io/github/classgraph/ArrayTypeSignature.java,io.github.classgraph.ArrayTypeSignature,parse,throws-declaration,ParseException,propagate,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,run,try-catch,InterruptedException | CancellationException | ExecutionException,custom,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,scanAsync,try-catch,InterruptedException,recover,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,call,throws-declaration,Exception,propagate,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,scan,try-catch,InterruptedException | CancellationException,wrap,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,scan,try-catch,ExecutionException,wrap,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,getClasspathScanResult,try-catch,InterruptedException | CancellationException,wrap,,
src/main/java/io/github/classgraph/ClassGraph.java,io.github.classgraph.ClassGraph$FailureHandler,getClasspathScanResult,try-catch,ExecutionException,wrap,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,throws-declaration,"ClassNotFoundException, LinkageError, SecurityException",propagate,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,ClassNotFoundException,ignore,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,IOException,wrap,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,findClass,try-catch,LinkageError,custom,,
src/main/java/io/github/classgraph/ClassGraphClassLoader.java,io.github.classgraph.ClassGraphClassLoader,getResources,throws-declaration,IOException,propagate,,
